Ranking,Game_Name,Platform,Release_Year,Genre,Publisher,North_America_Sales,Europe_Sales,Japan_Sales,Other_Regions_Sales,Total_Global_Sales,Year_int
22,super mario land,GB,1989-01-01,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,1989.0
23,super mario bros. 3,NES,1988-01-01,Platform,Nintendo,9.54,3.44,3.84,0.46,17.28,1988.0
24,grand theft auto v,X360,2013-01-01,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,2013.0
25,grand theft auto: vice city,PS2,2002-01-01,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,2002.0
26,pokemon ruby/pokemon sapphire,GBA,2002-01-01,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,2002.0
27,pokemon black/pokemon white,DS,2010-01-01,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,2010.0
28,brain age 2: more training in minutes a day,DS,2005-01-01,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,2005.0
29,gran turismo 3: a-spec,PS2,2001-01-01,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,2001.0
30,call of duty: modern warfare 3,X360,2011-01-01,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,2011.0
31,pokémon yellow: special pikachu edition,GB,1998-01-01,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,1998.0
32,call of duty: black ops,X360,2010-01-01,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,2010.0
33,pokemon x/pokemon y,3DS,2013-01-01,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,2013.0
34,call of duty: black ops 3,PS4,2015-01-01,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,2015.0
35,call of duty: black ops ii,PS3,2012-01-01,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,2012.0
36,call of duty: black ops ii,X360,2012-01-01,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,2012.0
37,call of duty: modern warfare 2,X360,2009-01-01,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,2009.0
38,call of duty: modern warfare 3,PS3,2011-01-01,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,2011.0
39,grand theft auto iii,PS2,2001-01-01,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,2001.0
40,super smash bros. brawl,Wii,2008-01-01,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,2008.0
41,call of duty: black ops,PS3,2010-01-01,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,2010.0
42,animal crossing: wild world,DS,2005-01-01,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,2005.0
43,mario kart 7,3DS,2011-01-01,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,2011.0
44,halo 3,X360,2007-01-01,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,2007.0
45,grand theft auto v,PS4,2014-01-01,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,2014.0
46,pokemon heartgold/pokemon soulsilver,DS,2009-01-01,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,2009.0
47,super mario 64,N64,1996-01-01,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,1996.0
48,gran turismo 4,PS2,2004-01-01,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,2004.0
49,super mario galaxy,Wii,2007-01-01,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,2007.0
50,pokemon omega ruby/pokemon alpha sapphire,3DS,2014-01-01,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,2014.0
51,super mario land 2: 6 golden coins,GB,1992-01-01,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,1992.0
52,grand theft auto iv,X360,2008-01-01,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,2008.0
53,gran turismo,PS,1997-01-01,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,1997.0
54,super mario 3d land,3DS,2011-01-01,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,2011.0
55,gran turismo 5,PS3,2010-01-01,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,2010.0
56,call of duty: modern warfare 2,PS3,2009-01-01,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,2009.0
57,grand theft auto iv,PS3,2008-01-01,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,2008.0
58,super mario all-stars,SNES,1993-01-01,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,1993.0
59,pokemon firered/pokemon leafgreen,GBA,2004-01-01,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,2004.0
60,super mario 64,DS,2004-01-01,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,2004.0
61,just dance 3,Wii,2011-01-01,Misc,Ubisoft,6.05,3.15,0.0,1.07,10.26,2011.0
62,call of duty: ghosts,X360,2013-01-01,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,2013.0
63,halo: reach,X360,2010-01-01,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,2010.0
64,mario kart 64,N64,1996-01-01,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,1996.0
65,new super mario bros. 2,3DS,2012-01-01,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,2012.0
66,halo 4,X360,2012-01-01,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,2012.0
67,final fantasy vii,PS,1997-01-01,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,1997.0
68,call of duty: ghosts,PS3,2013-01-01,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,2013.0
69,just dance 2,Wii,2010-01-01,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,2010.0
70,gran turismo 2,PS,1999-01-01,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,1999.0
71,call of duty 4: modern warfare,X360,2007-01-01,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,2007.0
72,donkey kong country,SNES,1994-01-01,Platform,Nintendo,4.36,1.71,3.0,0.23,9.3,1994.0
73,minecraft,X360,2013-01-01,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,2013.0
74,animal crossing: new leaf,3DS,2012-01-01,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,2012.0
75,mario party ds,DS,2007-01-01,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,2007.0
76,the elder scrolls v: skyrim,X360,2011-01-01,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,2011.0
77,super mario kart,SNES,1992-01-01,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,1992.0
78,fifa 16,PS4,2015-01-01,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,2015.0
79,wii party,Wii,2010-01-01,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,2010.0
80,halo 2,XB,2004-01-01,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,2004.0
81,mario party 8,Wii,2007-01-01,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,2007.0
82,pokemon black 2/pokemon white 2,DS,2012-01-01,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,2012.0
83,fifa soccer 13,PS3,2012-01-01,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,2012.0
84,the sims 3,PC,2009-01-01,Simulation,Electronic Arts,0.98,6.42,0.0,0.71,8.11,2009.0
85,goldeneye 007,N64,1997-01-01,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,1997.0
86,mario & sonic at the olympic games,Wii,2007-01-01,Sports,Sega,2.58,3.9,0.66,0.91,8.06,2007.0
87,final fantasy x,PS2,2001-01-01,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,2001.0
88,final fantasy viii,PS,1999-01-01,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,1999.0
89,pokémon platinum version,DS,2008-01-01,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,2008.0
90,pac-man,2600,1982-01-01,Puzzle,Atari,7.28,0.45,0.0,0.08,7.81,1982.0
91,grand theft auto: liberty city stories,PSP,2005-01-01,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,2005.0
92,super mario galaxy 2,Wii,2010-01-01,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,2010.0
93,star wars battlefront (2015),PS4,2015-01-01,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,2015.0
94,call of duty: advanced warfare,PS4,2014-01-01,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,2014.0
95,the legend of zelda: ocarina of time,N64,1998-01-01,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,1998.0
96,crash bandicoot 2: cortex strikes back,PS,1997-01-01,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,1997.0
97,super mario bros. 2,NES,1988-01-01,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46,1988.0
98,super smash bros. for wii u and 3ds,3DS,2014-01-01,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,2014.0
99,call of duty: world at war,X360,2008-01-01,Shooter,Activision,4.79,1.9,0.0,0.69,7.37,2008.0
100,battlefield 3,X360,2011-01-01,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,2011.0
101,the legend of zelda: twilight princess,Wii,2006-01-01,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,2006.0
102,call of duty: black ops 3,XOne,2015-01-01,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,2015.0
103,just dance,Wii,2009-01-01,Misc,Ubisoft,3.51,3.03,0.0,0.73,7.27,2009.0
104,battlefield 3,PS3,2011-01-01,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,2011.0
105,need for speed underground,PS2,2003-01-01,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,2003.0
106,tekken 3,PS,1998-01-01,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,1998.0
107,crash bandicoot 3: warped,PS,1998-01-01,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,1998.0
108,super smash bros. melee,GC,2001-01-01,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,2001.0
109,mario kart 8,WiiU,2014-01-01,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,2014.0
110,fallout 4,PS4,2015-01-01,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,2015.0
111,mario kart: double dash!!,GC,2003-01-01,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,2003.0
112,just dance 4,Wii,2012-01-01,Misc,Ubisoft,4.14,2.21,0.0,0.56,6.91,2012.0
113,fifa 14,PS3,2013-01-01,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,2013.0
114,need for speed underground 2,PS2,2004-01-01,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,2004.0
115,medal of honor: frontline,PS2,2002-01-01,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,2002.0
116,uncharted 3: drake's deception,PS3,2011-01-01,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,2011.0
117,crash bandicoot,PS,1996-01-01,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,1996.0
118,zumba fitness,Wii,2010-01-01,Sports,505 Games,3.5,2.64,0.0,0.67,6.81,2010.0
119,gears of war 2,X360,2008-01-01,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,2008.0
120,uncharted 2: among thieves,PS3,2009-01-01,Action,Sony Computer Entertainment,3.27,2.25,0.21,1.0,6.73,2009.0
121,call of duty 4: modern warfare,PS3,2007-01-01,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,2007.0
122,fifa 12,PS3,2011-01-01,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,2011.0
123,big brain academy,DS,2005-01-01,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,2005.0
124,red dead redemption,PS3,2010-01-01,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,2010.0
125,fifa 15,PS4,2014-01-01,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,2014.0
126,donkey kong country returns,Wii,2010-01-01,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,2010.0
127,the elder scrolls v: skyrim,PS3,2011-01-01,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56,2011.0
128,the legend of zelda,NES,1986-01-01,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,1986.0
129,assassin's creed iii,PS3,2012-01-01,Action,Ubisoft,2.64,2.56,0.16,1.14,6.5,2012.0
130,halo: combat evolved,XB,2001-01-01,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,2001.0
131,pokémon emerald version,GBA,2004-01-01,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41,2004.0
132,kingdom hearts,PS2,2002-01-01,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,2002.0
133,pokémon crystal version,GB,2000-01-01,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39,2000.0
134,halo 3: odst,X360,2009-01-01,Shooter,Microsoft Game Studios,4.34,1.35,0.06,0.61,6.36,2009.0
135,red dead redemption,X360,2010-01-01,Action,Take-Two Interactive,3.7,1.97,0.09,0.57,6.34,2010.0
136,super mario sunshine,GC,2002-01-01,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31,2002.0
137,street fighter ii: the world warrior,SNES,1992-01-01,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3,1992.0
138,world of warcraft,PC,2004-01-01,Role-Playing,Activision,0.07,6.21,0.0,0.0,6.28,2004.0
139,driver,PS,1999-01-01,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27,1999.0
140,kinect sports,X360,2010-01-01,Sports,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24,2010.0
141,gears of war 3,X360,2011-01-01,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24,2011.0
142,gears of war,X360,2006-01-01,Shooter,Microsoft Game Studios,3.54,1.9,0.07,0.6,6.11,2006.0
143,metal gear solid 2: sons of liberty,PS2,2001-01-01,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,2001.0
144,sonic the hedgehog 2,GEN,1992-01-01,Platform,Sega,4.47,1.2,0.16,0.19,6.03,1992.0
145,metal gear solid 4: guns of the patriots,PS3,2008-01-01,Action,Konami Digital Entertainment,2.63,1.74,0.83,0.83,6.03,2008.0
146,metal gear solid,PS,1998-01-01,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,1998.0
147,the last of us,PS3,2013-01-01,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,1.01,5.99,2013.0
148,final fantasy xii,PS2,2006-01-01,Role-Playing,Square Enix,1.88,0.0,2.33,1.74,5.95,2006.0
149,littlebigplanet,PS3,2008-01-01,Platform,Sony Computer Entertainment,2.8,2.05,0.17,0.9,5.92,2008.0
150,dragon quest ix: sentinels of the starry skies,DS,2009-01-01,Role-Playing,Nintendo,0.66,0.69,4.35,0.15,5.84,2009.0
151,lego star wars: the complete saga,Wii,2007-01-01,Action,LucasArts,3.66,1.63,0.0,0.53,5.83,2007.0
152,resident evil 2,PS,1998-01-01,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,1998.0
153,tekken 2,PS,1996-01-01,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,1996.0
154,cooking mama,DS,2006-01-01,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72,2006.0
155,destiny,PS4,2014-01-01,Shooter,Activision,2.49,2.05,0.16,0.96,5.65,2014.0
156,tetris,NES,1988-01-01,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,1988.0
157,assassin's creed ii,PS3,2009-01-01,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57,2009.0
158,super smash bros.,N64,1999-01-01,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,1999.0
159,assassin's creed,X360,2007-01-01,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55,2007.0
160,batman: arkham city,PS3,2011-01-01,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53,2011.0
161,forza motorsport 3,X360,2009-01-01,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51,2009.0
162,monster hunter freedom unite,PSP,2008-01-01,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5,2008.0
163,super mario advance,GBA,2001-01-01,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,2001.0
164,mario kart: super circuit,GBA,2001-01-01,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,2001.0
165,super mario world,GBA,2001-01-01,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,2001.0
166,pokemon stadium,N64,1999-01-01,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,1999.0
167,call of duty: world at war,PS3,2008-01-01,Shooter,Activision,2.72,1.87,0.0,0.84,5.43,2008.0
168,crash bandicoot: the wrath of cortex,PS2,2001-01-01,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,2001.0
169,minecraft,PS3,2014-01-01,Misc,Sony Computer Entertainment,1.97,2.51,0.0,0.94,5.42,2014.0
170,final fantasy xiii,PS3,2009-01-01,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36,2009.0
171,dr. mario,GB,1989-01-01,Puzzle,Nintendo,2.18,0.96,2.0,0.2,5.34,1989.0
172,pokemon pinball,GB,1999-01-01,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,1999.0
173,assassin's creed iii,X360,2012-01-01,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,2012.0
174,final fantasy ix,PS,2000-01-01,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3,2000.0
175,final fantasy x-2,PS2,2003-01-01,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,2003.0
176,donkey kong 64,N64,1999-01-01,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,1999.0
177,assassin's creed ii,X360,2009-01-01,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27,2009.0
178,professor layton and the curious village,DS,2007-01-01,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26,2007.0
179,tomb raider ii,PS,1997-01-01,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,1997.0
180,madden nfl 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,
181,dragon quest viii: journey of the cursed king,PS2,2004-01-01,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,2004.0
182,diablo iii,PC,2012-01-01,Role-Playing,Activision,2.43,2.15,0.0,0.62,5.2,2012.0
183,super mario bros. 3,GBA,2003-01-01,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,2003.0
184,new super mario bros. u,WiiU,2012-01-01,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,2012.0
185,super mario land 3: wario land,GB,1994-01-01,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,1994.0
186,fifa soccer 13,X360,2012-01-01,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,2012.0
187,the legend of zelda: phantom hourglass,DS,2007-01-01,Action,Nintendo,1.9,1.83,0.95,0.49,5.17,2007.0
188,donkey kong country 2: diddy's kong quest,SNES,1995-01-01,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,1995.0
189,tomodachi life,3DS,2013-01-01,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15,2013.0
190,mario & sonic at the olympic games,DS,2008-01-01,Sports,Sega,1.64,2.48,0.44,0.58,5.14,2008.0
191,medal of honor: rising sun,PS2,2003-01-01,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,2003.0
192,kirby's dream land,GB,1992-01-01,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,1992.0
193,fable iii,X360,2010-01-01,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13,2010.0
194,call of duty: advanced warfare,XOne,2014-01-01,Shooter,Activision,3.21,1.53,0.01,0.38,5.13,2014.0
195,microsoft flight simulator,PC,1996-01-01,Simulation,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,1996.0
196,guitar hero ii,PS2,2006-01-01,Misc,RedOctane,3.81,0.63,0.0,0.68,5.12,2006.0
197,resident evil 5,PS3,2009-01-01,Action,Capcom,1.96,1.43,1.08,0.65,5.11,2009.0
198,grand theft auto v,XOne,2014-01-01,Action,Take-Two Interactive,2.66,2.01,0.0,0.41,5.08,2014.0
199,grand theft auto: vice city stories,PSP,2006-01-01,Action,Take-Two Interactive,1.7,2.02,0.16,1.21,5.08,2006.0
200,fifa soccer 11,PS3,2010-01-01,Sports,Electronic Arts,0.6,3.29,0.06,1.13,5.08,2010.0
201,super mario bros.,GB,1999-01-01,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,1999.0
202,resident evil,PS,1996-01-01,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,1996.0
203,tony hawk's pro skater,PS,1999-01-01,Sports,Activision,3.42,1.38,0.02,0.2,5.02,1999.0
204,super smash bros. for wii u and 3ds,WiiU,2014-01-01,Fighting,Nintendo,2.59,1.06,0.8,0.57,5.02,2014.0
205,warzone 2100,PS,1999-01-01,Strategy,Eidos Interactive,2.79,1.89,0.0,0.33,5.01,1999.0
206,spyro the dragon,PS,1998-01-01,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5.0,1998.0
207,link's crossbow training,Wii,2007-01-01,Shooter,Nintendo,3.06,1.18,0.29,0.46,5.0,2007.0
208,guitar hero iii: legends of rock,PS2,2007-01-01,Misc,Activision,3.49,0.01,0.01,1.48,4.98,2007.0
209,fallout 3,X360,2008-01-01,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,0.44,4.96,2008.0
210,pokemon mystery dungeon: explorers of time/explorers of darkness,DS,2007-01-01,Role-Playing,Nintendo,1.85,1.2,1.54,0.37,4.96,2007.0
211,uncharted: drake's fortune,PS3,2007-01-01,Action,Sony Computer Entertainment,2.31,1.73,0.12,0.78,4.94,2007.0
212,madden nfl 06,PS2,2005-01-01,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,2005.0
213,lego star wars: the complete saga,DS,2007-01-01,Action,LucasArts,2.89,1.54,0.0,0.46,4.9,2007.0
214,diddy kong racing,N64,1997-01-01,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,1997.0
215,monster hunter freedom 3,PSP,2010-01-01,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,2010.0
216,dr. mario,NES,1990-01-01,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,1990.0
217,god of war iii,PS3,2010-01-01,Action,Sony Computer Entertainment,2.74,1.36,0.12,0.63,4.84,2010.0
218,starcraft ii: wings of liberty,PC,2010-01-01,Strategy,Activision,2.56,1.68,0.0,0.59,4.83,2010.0
219,assassin's creed,PS3,2007-01-01,Adventure,Ubisoft,1.91,2.0,0.09,0.83,4.83,2007.0
220,fifa 15,PS3,2014-01-01,Sports,Electronic Arts,0.57,3.14,0.04,1.07,4.82,2014.0
221,crash team racing,PS,1999-01-01,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,1999.0
222,fifa 17,PS4,2016-01-01,Sports,Electronic Arts,0.28,3.75,0.06,0.69,4.77,2016.0
223,batman: arkham city,X360,2011-01-01,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,0.41,4.76,2011.0
224,driver 2,PS,2000-01-01,Action,Atari,2.36,2.1,0.02,0.25,4.73,2000.0
225,the simpsons: hit & run,PS2,2003-01-01,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,2003.0
226,tony hawk's pro skater 2,PS,2000-01-01,Sports,Activision,3.05,1.41,0.02,0.2,4.68,2000.0
227,animal crossing: city folk,Wii,2008-01-01,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68,2008.0
228,the lord of the rings: the two towers,PS2,2002-01-01,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,2002.0
229,forza motorsport 4,X360,2011-01-01,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64,2011.0
230,tomb raider,PS,1996-01-01,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,1996.0
231,guitar hero iii: legends of rock,Wii,2007-01-01,Misc,Activision,3.06,1.12,0.0,0.44,4.62,2007.0
232,the legend of zelda: a link to the past,SNES,1991-01-01,Action,Nintendo,2.42,0.91,1.15,0.13,4.61,1991.0
233,the legend of zelda: the wind waker,GC,2002-01-01,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,2002.0
234,mario & sonic at the olympic winter games,Wii,2009-01-01,Sports,Sega,1.89,1.99,0.22,0.48,4.58,2009.0
235,luigi's mansion: dark moon,3DS,2013-01-01,Action,Nintendo,1.78,1.39,1.1,0.3,4.58,2013.0
